iter	RMSE
576	0.0547784146
577	0.05450758151
578	0.05421825369
579	0.05383493176
580	0.05357224124
581	0.05345792824
582	0.05299739764
583	0.05267085546
584	0.05254494128
585	0.05216022148
586	0.05185774772
587	0.05164279151
588	0.05142002463
589	0.05102110307
590	0.05075528552
591	0.05042206192
592	0.05018204522
593	0.05006404289
594	0.049806826
595	0.04950563826
596	0.04942679564
597	0.04896627141
598	0.04886648168
599	0.04858730991
600	0.04839332901
601	0.04802538518
602	0.04783581667
603	0.04759475604
604	0.04722432377
605	0.04685885188
606	0.04658336127
607	0.04645664537
608	0.04605737061
609	0.04593372847
610	0.04554302378
611	0.04516021827
612	0.04489988459
613	0.04452689983
614	0.0444246824
615	0.04422123893
616	0.04404048618
617	0.04367775126
618	0.04347958212
619	0.0433040144
620	0.04295123164
621	0.04274016637
622	0.04241076014
623	0.04222040086
624	0.0419972795
625	0.04183032639
626	0.04166119201
627	0.04149742071
628	0.04133616635
629	0.0410198204
630	0.04068865164
631	0.04036421336
632	0.04011080213
633	0.04002088729
634	0.03981276345
635	0.0395986173
636	0.03930492313
637	0.03901122362
638	0.03881381908
639	0.03852802052
640	0.03824205851
641	0.0379502157
642	0.03778673099
643	0.03762534326
644	0.03734963794
645	0.03707412838
646	0.03691638524
647	0.03672730238
648	0.03646037688
649	0.03619346356
650	0.03591810064
651	0.03576577585
652	0.03561822461
653	0.03532859838
654	0.03515733725
655	0.03501350476
656	0.03475983085
657	0.03454710252
658	0.03438002865
659	0.03419034699
660	0.03406061404
661	0.03392361997
662	0.03366751007
663	0.03339569071
664	0.0332538504
665	0.03310633864
666	0.03298249253
667	0.03266279827
668	0.03245004557
669	0.03220539379
670	0.03206669864
671	0.03194724613
672	0.03171762101
673	0.03148812867
674	0.03135325889
675	0.03112995713
676	0.03101582326
677	0.03079275382
678	0.03066160347
679	0.03044576906
680	0.0303354561
681	0.03021057098
682	0.03008407501
683	0.02989652856
684	0.02966060111
685	0.02942828597
686	0.02922536163
687	0.02899581491
688	0.02887868285
689	0.02865563737
690	0.02843600009
691	0.02824354341
692	0.02802503187
693	0.02782407047
694	0.02764022575
695	0.02742706196
696	0.02726097819
697	0.02707974665
698	0.0268735225
699	0.02669312743
700	0.02651857613
701	0.02634426855
702	0.02624043574
703	0.02606891944
704	0.02588774679
705	0.02569519476
706	0.02551946987
707	0.02533096672
708	0.02519452404
709	0.0250887754
710	0.02492654119
711	0.0247664704
712	0.02460695031
713	0.02440329922
714	0.02422533463
715	0.02407423408
716	0.02387653703
717	0.02372438674
718	0.02355258289
719	0.0234282393
720	0.02328138043
721	0.02313450123
722	0.02293266724
723	0.02282071632
724	0.0227239965
725	0.02252774963
726	0.02234489558
727	0.02215375836
728	0.02199712965
729	0.02184303228
730	0.02176662404
731	0.02159093412
732	0.02151610537
733	0.02134367588
734	0.0211927855
735	0.02102417673
736	0.02087839799
737	0.02080668401
738	0.02064223629
739	0.02048781237
740	0.02034469892
741	0.02019424014
742	0.02004365388
743	0.01986949822
744	0.01972357334
745	0.01955452505
746	0.0194539121
747	0.01932024734
748	0.01925382414
749	0.01911131943
750	0.01898115221
751	0.01884848313
752	0.01871193316
753	0.01857432566
754	0.01843473122
755	0.01837172532
756	0.01823763841
757	0.01808176351
758	0.01793841039
759	0.01778269194
760	0.01765037347
761	0.01755996434
762	0.01744387585
763	0.01731561104
764	0.0172113804
765	0.01708614609
766	0.01694156382
767	0.01688345764
768	0.01681043546
769	0.01675349848
770	0.0166328407
771	0.01648823816
772	0.01643302122
773	0.01629145034
774	0.01615499794
775	0.01610155329
776	0.01600764994
777	0.01589315432
778	0.0157637891
779	0.01567281119
780	0.01554678309
781	0.01544064499
782	0.01535286348
783	0.01519447112
784	0.01510202226
785	0.01501116319
786	0.01493738337
787	0.01483528331
788	0.01476323532
789	0.0146924183
790	0.01459643653
791	0.01448928339
792	0.0143929238
793	0.0142977169
794	0.01419387731
795	0.01410051762
796	0.01401553586
797	0.01392397326
798	0.01384068134
799	0.01375088206
800	0.01362621082
801	0.01354517451
802	0.013465112
803	0.01337805706
804	0.01329970171
805	0.01319973981
806	0.01310149997
807	0.01300825172
808	0.0128976763
809	0.01280709038
810	0.01272406299
811	0.01264208871
812	0.01256115539
813	0.01247628337
814	0.01239589391
815	0.01231683043
816	0.01223448301
817	0.01215674405
818	0.01206748439
819	0.01197009695
820	0.0118907591
821	0.01180391682
822	0.01171482316
823	0.01162749972
824	0.01153301802
825	0.01142923398
826	0.01132700825
827	0.0112353287
828	0.01112441215
829	0.01103315301
830	0.01093553138
831	0.01084343619
832	0.01075271552
833	0.01066334956
834	0.01056152213
835	0.01047607609
836	0.01041341881
837	0.01033816826
838	0.01027000293
839	0.01020923608
840	0.01010968058
841	0.01003030432
842	0.009952072237
843	0.009867180521
844	0.009790603674
845	0.009715131948
846	0.009653672695
847	0.009592991894
848	0.00953289105
849	0.00945691974
850	0.009379242163
851	0.009306323338
852	0.009248231896
853	0.00919087949
854	0.009118235958
855	0.009062080178
856	0.008989285458
857	0.008913900612
858	0.008844994039
859	0.008790995981
860	0.008737687292
861	0.008668089126
862	0.008600799085
863	0.008548983616
864	0.008478324465
865	0.008404058957
866	0.008330920865
867	0.008265645467
868	0.008198572548
869	0.008134713044
870	0.008072323933
871	0.008010848426
872	0.007962856726
873	0.007915478734
874	0.007851398228
875	0.007790032338
876	0.007727941281
877	0.007668476205
878	0.007608319034
879	0.007552732918
880	0.007498084183
881	0.007437272799
882	0.007382016382
883	0.007332009075
884	0.007273396575
885	0.007215891134
886	0.007164668263
887	0.007108869134
888	0.007052583967
889	0.007006021288
890	0.006949247898
891	0.006896104104
892	0.006840699038
893	0.006790004226
894	0.006737209177
895	0.006684281503
896	0.006631193102
897	0.006579565082
898	0.006527527872
899	0.006478596169
900	0.006430382094
901	0.006382876119
902	0.006333408634
903	0.006284824266
904	0.006239343537
905	0.006190526267
906	0.006142151434
907	0.006096962105
908	0.006052437281
909	0.006008568124
910	0.005965345904
911	0.005922761999
912	0.005877569159
913	0.005833183933
914	0.005789593681
915	0.005746785934
916	0.005704748386
917	0.005669976881
918	0.005635706953
919	0.005599646689
920	0.005558461566
921	0.005517972465
922	0.005478793133
923	0.005440193311
924	0.005402165247
925	0.00535852036
926	0.00532148112
927	0.005278954996
928	0.005242880412
929	0.005201447203
930	0.005160582064
931	0.005120371668
932	0.005085975462
933	0.005038016869
934	0.004990999461
935	0.004944906035
936	0.004911784663
937	0.004866182138
938	0.004833965015
939	0.004802265285
940	0.00476664108
941	0.004731523116
942	0.004696904173
943	0.004662777134
944	0.004629134989
945	0.004599937018
946	0.004566986171
947	0.004529048637
948	0.004491928662
949	0.004459896369
950	0.004423795517
951	0.004388472648
952	0.00435491787
953	0.004320609906
954	0.004285571728
955	0.004252572541
956	0.00422596916
957	0.004196208282
958	0.004171166741
959	0.004139335086
960	0.004111729852
961	0.004081670887
962	0.004049479802
963	0.004019171233
964	0.003994123878
965	0.003964081451
966	0.003936595697
967	0.003905253722
968	0.003875147392
969	0.003846811576
970	0.003819096581
971	0.003790701297
972	0.003761018714
973	0.003733396411
974	0.00370623726
975	0.003678344467
976	0.003651924429
977	0.003629718249
978	0.003600191278
979	0.003573929413
980	0.003545086093
981	0.003519565165
982	0.003491390822
983	0.003466517456
984	0.003441164757
985	0.003419572108
986	0.003392463202
987	0.003368566238
988	0.003350047814
989	0.003328688552
990	0.00330804471
991	0.003281085325
992	0.003260432748
993	0.003236477977
994	0.00321078643
995	0.003192030183
996	0.003167046619
997	0.003150731006
998	0.003128832614
999	0.003101569683
